status,json_path,image_path,label,source,reason
sample,yolo_training\side_view_dataset\labelme_json\c3cc96b743144ff3828d88fd8d0fc96c.json,yolo_training\side_view_dataset\annotation_batches\batch_012\images\c3cc96b743144ff3828d88fd8d0fc96c.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\c99d07b5c9b2408aa3cc9dd72e456d16.json,yolo_training\side_view_dataset\annotation_batches\batch_013\images\c99d07b5c9b2408aa3cc9dd72e456d16.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\cc410b0cd7774e379af87f4726f2a94d.json,yolo_training\side_view_dataset\annotation_batches\batch_012\images\cc410b0cd7774e379af87f4726f2a94d.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\dac523d68aa949918e19e315c13465ba.json,yolo_training\side_view_dataset\annotation_batches\batch_013\images\dac523d68aa949918e19e315c13465ba.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\e4264e036bc544c9a46a4a0b334d9179.json,yolo_training\side_view_dataset\annotation_batches\batch_013\images\e4264e036bc544c9a46a4a0b334d9179.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\e596c0200f2f436ab25ae3e7382c16c9.json,dataset_raw\images\train\labeled_from_candidates\e596c0200f2f436ab25ae3e7382c16c9.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\f1e50c7ed76c413dad8ba0c69014c7a8.json,yolo_training\side_view_dataset\annotation_batches\batch_013\images\f1e50c7ed76c413dad8ba0c69014c7a8.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\f591a494d96241efa404de842f80ff82.json,dataset_raw\images\train\not_in_side_image_exception\f591a494d96241efa404de842f80ff82.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\sedan_side_view__000011.json,yolo_training\side_view_dataset\images\train\sedan_side_view__000011.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\sedan_side_view_street__000007.json,yolo_training\side_view_dataset\images\train\sedan_side_view_street__000007.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\stanford_00001.json,yolo_training\side_view_dataset\annotation_batches\batch_020\images\stanford_00001.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\stanford_00003.json,yolo_training\side_view_dataset\annotation_batches\batch_013\images\stanford_00003.jpg,right-looking,bumper+wheel,
skipped,yolo_training\side_view_dataset\labelme_json\000006_suv_side_profile_studio_shot.json,,,,missing_or_ambiguous_front_rear_points
skipped,yolo_training\side_view_dataset\labelme_json\35d58febdfbe4aa4918cdab6bff55782.json,,,,missing_or_ambiguous_front_rear_points
skipped,yolo_training\side_view_dataset\labelme_json\af9f6f68e3b641509543da169adab10d.json,,,,missing_or_ambiguous_front_rear_points
skipped,yolo_training\side_view_dataset\labelme_json\ce1f241aed934f0097d8ecf0f785ea03.json,,,,missing_or_ambiguous_front_rear_points
skipped,yolo_training\side_view_dataset\labelme_json\ecc9aaa464dd4081992dd6369c84fe76.json,,,,missing_or_ambiguous_front_rear_points
